Alpha,Beta,P(Angle)
0.0,0,0.03125
11.25,0,0.03125
22.5,0,0.03125
33.75,0,0.03125
45.0,0,0.03125
56.25,0,0.03125
67.5,0,0.03125
78.75,0,0.03125
90.0,0,0.03125
101.25,0,0.03125
112.5,0,0.03125
123.75,0,0.03125
135.0,0,0.03125
146.25,0,0.03125
157.5,0,0.03125
168.75,0,0.03125
180.0,0,0.03125
191.25,0,0.03125
202.5,0,0.03125
213.75,0,0.03125
225.0,0,0.03125
236.25,0,0.03125
247.5,0,0.03125
258.75,0,0.03125
270.0,0,0.03125
281.25,0,0.03125
292.5,0,0.03125
303.75,0,0.03125
315.0,0,0.03125
326.25,0,0.03125
337.5,0,0.03125
348.75,0,0.03125
